Plotname;Plotid;Status;Location;Longitude;Latitude;utm_x;utm_y
SEW10;S5073;EP;Forest;13.637843132;53.0910959427;810497.301597968;5892461.98862436
SEW11;S5075;EP;Forest;13.6337037671;53.0902936541;810226.124650056;5892354.86401844
SEW12;S5094;EP;Forest;13.6982632545;53.0883300835;814560.024634594;5892418.53013528
SEW13;S154;EP;Forest;13.8639279627;53.0163657036;826188.234714666;5885162.31958201
SEW14;S5098;EP;Forest;13.7521735271;52.9179136611;819424.626226117;5873717.53451601
SEW15;S5102;EP;Forest;13.7375525556;52.914542078;818467.243647234;5873277.79338823
SEW16;S260;EP;Forest;13.8639856255;53.0765831695;825737.017395767;5891854.61649733
SEW17;S5001;EP;Forest;13.8274870493;52.9423507679;824300.672600528;5876771.47371726
SEW18;S5051;EP;Forest;13.9172479943;52.8624230856;830936.102230731;5868299.20819515
SEW19;S5070;EP;Forest;13.6350797244;53.0939848778;810291.593190094;5892771.08025337
SEW20;S5074;EP;Forest;13.6353842203;53.0886055083;810350.725719137;5892174.52866142
SEW21;S5101;EP;Forest;13.740450917;52.9155883093;818654.263198338;5873406.94417013
SEW22;S213;EP;Forest;13.9140747207;53.0601385484;829214.74978703;5890256.37079835
SEW23;S5089;EP;Forest;13.7791918682;52.9489729846;821009.276036962;5877290.00289684
SEW24;S5092;EP;Forest;13.9671737446;52.8897190116;834083.677656083;5871563.9503975
SEW25;S5095;EP;Forest;13.7610957942;52.9209815366;820001.316847655;5874098.26954932
SEW26;S5100;EP;Forest;13.7461817871;52.9174012798;819025.90677444;5873633.91407516
SEW27;S5105;EP;Forest;14.0010438422;52.8899546096;836358.319011189;5871748.45408697
SEW28;S5107;EP;Forest;13.6640414169;52.883956729;813749.886024433;5869554.60593215
SEW29;S156;EP;Forest;13.8622360487;53.0172391815;826068.249821156;5885251.68374642
SEW30;S217;EP;Forest;13.9223631143;53.06213691;829754.35648043;5890516.61004898
SEW31;S5116;EP;Forest;13.9033696983;52.8810775398;829860.905858298;5870308.32089145
SEW32;S292;EP;Forest;13.9270461979;53.0627722974;830063.000131372;5890608.81114579
SEW33;S5038;EP;Forest;13.8874377589;52.9150420243;828532.423126961;5874009.61932461
SEW34;S5108;EP;Forest;13.8521470181;52.8958258919;826306.346732523;5871712.98459441
SEW35;S475;EP;Forest;13.8534187775;52.9112679466;826275.590049635;5873434.86030328
SEW36;S5086;EP;Forest;13.7541425496;52.9513641654;819310.187248079;5877443.84576282
