Plotname;Plotid;Corner;Status;Location;Longitude;Latitude;utm_x;utm_y
SEG40;S850;SE;EP;Grassland;13.8410464918197;53.1154748175748;823909.11074681;5896072.54829481
SEG40;S850;SW;EP;Grassland;13.8402959925803;53.1154748175748;823858.92923071;5896069.1491373
SEG41;S974;NE;EP;Grassland;13.8527176967026;53.1224184725252;824637.090894167;5896897.13991875
SEG41;S974;NW;EP;Grassland;13.8519670840974;53.1224184725252;824586.91017062;5896893.73227028
SEG41;S974;SE;EP;Grassland;13.8527176967026;53.1219680220748;824640.490563412;5896847.08043939
SEG41;S974;SW;EP;Grassland;13.8519670840974;53.1219680220748;824590.309312546;5896843.67277521
SEG42;S1045;NE;EP;Grassland;13.9692020153717;52.8708984204252;834365.002148596;5869481.95496009
SEG42;S1045;NW;EP;Grassland;13.9684557622283;52.8708984204252;834314.823012044;5869478.47673521
SEG42;S1045;SE;EP;Grassland;13.9692020153717;52.8704479699748;834368.472122511;5869431.89848629
SEG42;S1045;SW;EP;Grassland;13.9684557622283;52.8704479699748;834318.292463301;5869428.42024588
SEG43;S1046;NE;EP;Grassland;13.9682006128678;52.8768027942252;834252.190264567;5870133.41372139
SEG43;S1046;NW;EP;Grassland;13.9674542581322;52.8768027942252;834202.011127976;5870129.93592978
SEG43;S1046;SE;EP;Grassland;13.9682006128678;52.8763523437748;834255.659808639;5870083.35721412
SEG43;S1046;SW;EP;Grassland;13.9674542581322;52.8763523437748;834205.48014928;5870079.87940697
SEG44;S1047;NE;EP;Grassland;13.9655630564303;52.8802845590252;834048.056918994;5870508.03896112
SEG44;S1047;NW;EP;Grassland;13.9648166417697;52.8802845590252;833997.877739635;5870504.56286246
SEG44;S1047;SE;EP;Grassland;13.9655630564303;52.8798341085748;834051.524775659;5870457.98239147
SEG44;S1047;SW;EP;Grassland;13.9648166417697;52.8798341085748;834001.345073468;5870454.50627728
SEG45;S1048;NE;EP;Grassland;13.959766152647;52.8816807519252;833647.612027639;5870636.20932934
SEG45;S1048;NW;EP;Grassland;13.959019713953;52.8816807519252;833597.432732298;5870632.73723743
SEG45;S1048;SE;EP;Grassland;13.959766152647;52.8812303014748;833651.075887925;5870586.15263609
SEG45;S1048;SW;EP;Grassland;13.959019713953;52.8812303014748;833600.896069731;5870582.68052865
SEG46;S779;NE;EP;Grassland;13.8267061983945;52.9786630315252;823976.245875496;5880803.40822253
SEG46;S779;NW;EP;Grassland;13.8259580854055;52.9786630315252;823926.064152403;5880800.02525
SEG46;S779;SE;EP;Grassland;13.8267061983945;52.9782125810748;823979.620872278;5880753.34855852
SEG46;S779;SW;EP;Grassland;13.8259580854055;52.9782125810748;823929.438624621;5880749.96557069
SEG47;S801;NE;EP;Grassland;13.827956234937;52.9874910003252;823993.930732562;5881790.13563323
SEG47;S801;NW;EP;Grassland;13.827207969063;52.9874910003252;823943.749063117;5881786.75139087
SEG47;S801;SE;EP;Grassland;13.827956234937;52.9870405498748;823997.306999538;5881740.07597281
SEG47;S801;SW;EP;Grassland;13.827207969063;52.9870405498748;823947.124805361;5881736.69171512
SEG48;S995;NE;EP;Grassland;13.607016490087;53.0974303352252;808389.385142043;5893032.66987638
SEG48;S995;NW;EP;Grassland;13.606266313513;53.0974303352252;808339.199331133;5893029.43627452
SEG48;S995;SE;EP;Grassland;13.607016490087;53.0969798847748;808392.611176221;5892982.60546283
SEG48;S995;SW;EP;Grassland;13.606266313513;53.0969798847748;808342.424838684;5892979.37184614
SEG49;S1033;NE;EP;Grassland;13.8569527067303;52.9749587159252;826033.028568083;5880528.95902875
SEG49;S1033;NW;EP;Grassland;13.8562046578697;52.9749587159252;825982.847455335;5880525.55496073
SEG49;S1033;SE;EP;Grassland;13.8569527067303;52.9745082654748;826036.424607539;5880478.89999459
SEG49;S1033;SW;EP;Grassland;13.8562046578697;52.9745082654748;825986.242970271;5880475.49591117
SEG50;S1052;NE;EP;Grassland;13.7507629697798;53.1220035474252;817824.031344323;5896393.01005864
SEG50;S1052;NW;EP;Grassland;13.7500123644202;53.1220035474252;817773.848503356;5896389.67422074
SEG50;S1052;SE;EP;Grassland;13.7507629697798;53.1215530969748;817827.359376493;5896342.9484692
SEG50;S1052;SW;EP;Grassland;13.7500123644202;53.1215530969748;817777.176008305;5896339.61261593
SEW01;S5110;NE;VIP;Forest;13.8471137226013;52.9012977406504;825926.951071861;5872298.1874014
SEW01;S5110;NW;VIP;Forest;13.8456201771987;52.9012977406504;825826.588472586;5872291.40021706
SEW01;S5110;SE;VIP;Forest;13.8471137226013;52.9003968397496;825933.722730369;5872198.06928968
SEW01;S5110;SW;VIP;Forest;13.8456201771987;52.9003968397496;825833.358038637;5872191.28204454
SEW02;S5090;NE;VIP;Forest;13.7787757679251;52.9521793144505;820957.569780354;5877644.47297594
SEW02;S5090;NW;VIP;Forest;13.7772804660749;52.9521793144505;820857.204723915;5877637.77729276
SEW02;S5090;SE;VIP;Forest;13.7787757679251;52.9512784135496;820964.25020146;5877544.35183602
SEW02;S5090;SW;VIP;Forest;13.7772804660749;52.9512784135496;820863.883048965;5877537.65609248
SEW03;S5112;NE;VIP;Forest;13.6437487193747;52.9211578866504;812117.747740521;5873600.58649029
SEW03;S5112;NW;VIP;Forest;13.6422544890253;52.9211578866504;812017.377129261;5873594.0831714
SEW03;S5112;SE;VIP;Forest;13.6437487193747;52.9202569857495;812124.236241666;5873500.46016006
SEW03;S5112;SW;VIP;Forest;13.6422544890253;52.9202569857495;812023.863537173;5873493.95678282
SEW04;S467;NE;VIP;Forest;13.8480584296918;52.9177970811505;825866.376544241;5874136.07155795
SEW04;S467;NW;VIP;Forest;13.8465643153082;52.9177970811505;825766.01409021;5874129.28157641
SEW04;S467;SE;VIP;Forest;13.8480584296918;52.9168961802496;825873.151006425;5874035.95340408
SEW04;S467;SW;VIP;Forest;13.8465643153082;52.9168961802496;825772.786458687;5874029.16336158
SEW05;S219;NE;VIP;Forest;13.8861157045589;53.0574840105505;827363.083614787;5889833.10851371
SEW05;S219;NW;VIP;Forest;13.8846167506411;53.0574840105505;827262.723652718;5889826.25254792
SEW05;S219;SE;VIP;Forest;13.8861157045589;53.0565831096496;827369.924013936;5889732.99126359
SEW05;S219;SW;VIP;Forest;13.8846167506411;53.0565831096496;827269.561947434;5889726.13523511
SEW06;S5111;NE;VIP;Forest;13.842434933591;52.9078932434504;825563.017849567;5873009.89941725
SEW06;S5111;NW;VIP;Forest;13.840941160809;52.9078932434504;825462.655101921;5873003.11821671
